EMA_SLOW,VOL_X,ADX_THR,RUNNER_ATR,TR_MULT,TR_MULT_RUN,BE_LOCK,COOLDOWN,folds,median_test_eq,min_test_eq,mean_test_eq,total_test_trades
200,0.95,22,1.0,2.0,3.0,0.7,2,1,1.0,1.0,1.0,0
200,0.95,22,1.0,2.0,3.0,1.0,2,1,1.0,1.0,1.0,0
200,0.95,22,1.0,2.0,3.5,0.7,2,1,1.0,1.0,1.0,0
200,0.95,22,1.0,2.0,3.5,1.0,2,1,1.0,1.0,1.0,0
200,0.95,22,1.0,2.5,3.0,0.7,2,1,1.0,1.0,1.0,0
200,0.95,22,1.0,2.5,3.0,1.0,2,1,1.0,1.0,1.0,0
200,0.95,22,1.0,2.5,3.5,0.7,2,1,1.0,1.0,1.0,0
200,0.95,22,1.0,2.5,3.5,1.0,2,1,1.0,1.0,1.0,0
200,0.95,22,1.5,2.0,3.0,0.7,2,1,1.0,1.0,1.0,0
200,0.95,22,1.5,2.0,3.0,1.0,2,1,1.0,1.0,1.0,0
200,0.95,22,1.5,2.0,3.5,0.7,2,1,1.0,1.0,1.0,0
200,0.95,22,1.5,2.0,3.5,1.0,2,1,1.0,1.0,1.0,0
200,0.95,22,1.5,2.5,3.0,0.7,2,1,1.0,1.0,1.0,0
200,0.95,22,1.5,2.5,3.0,1.0,2,1,1.0,1.0,1.0,0
200,0.95,22,1.5,2.5,3.5,0.7,2,1,1.0,1.0,1.0,0
200,0.95,22,1.5,2.5,3.5,1.0,2,1,1.0,1.0,1.0,0
200,0.95,25,1.0,2.0,3.0,0.7,2,1,1.0,1.0,1.0,0
200,0.95,25,1.0,2.0,3.0,1.0,2,1,1.0,1.0,1.0,0
200,0.95,25,1.0,2.0,3.5,0.7,2,1,1.0,1.0,1.0,0
200,0.95,25,1.0,2.0,3.5,1.0,2,1,1.0,1.0,1.0,0
200,0.95,25,1.0,2.5,3.0,0.7,2,1,1.0,1.0,1.0,0
200,0.95,25,1.0,2.5,3.0,1.0,2,1,1.0,1.0,1.0,0
200,0.95,25,1.0,2.5,3.5,0.7,2,1,1.0,1.0,1.0,0
200,0.95,25,1.0,2.5,3.5,1.0,2,1,1.0,1.0,1.0,0
200,0.95,25,1.5,2.0,3.0,0.7,2,1,1.0,1.0,1.0,0
200,0.95,25,1.5,2.0,3.0,1.0,2,1,1.0,1.0,1.0,0
200,0.95,25,1.5,2.0,3.5,0.7,2,1,1.0,1.0,1.0,0
200,0.95,25,1.5,2.0,3.5,1.0,2,1,1.0,1.0,1.0,0
200,0.95,25,1.5,2.5,3.0,0.7,2,1,1.0,1.0,1.0,0
200,0.95,25,1.5,2.5,3.0,1.0,2,1,1.0,1.0,1.0,0
200,0.95,25,1.5,2.5,3.5,0.7,2,1,1.0,1.0,1.0,0
200,0.95,25,1.5,2.5,3.5,1.0,2,1,1.0,1.0,1.0,0
160,0.9,20,1.0,2.0,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,20,1.0,2.0,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.9,20,1.0,2.0,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,20,1.0,2.0,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.9,20,1.0,2.5,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,20,1.0,2.5,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.9,20,1.0,2.5,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,20,1.0,2.5,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.9,20,1.5,2.0,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,20,1.5,2.0,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.9,20,1.5,2.0,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,20,1.5,2.0,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.9,20,1.5,2.5,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,20,1.5,2.5,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.9,20,1.5,2.5,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,20,1.5,2.5,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.9,22,1.0,2.0,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,22,1.0,2.0,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.9,22,1.0,2.0,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,22,1.0,2.0,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.9,22,1.0,2.5,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,22,1.0,2.5,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.9,22,1.0,2.5,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,22,1.0,2.5,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.9,22,1.5,2.0,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,22,1.5,2.0,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.9,22,1.5,2.0,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,22,1.5,2.0,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.9,22,1.5,2.5,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,22,1.5,2.5,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.9,22,1.5,2.5,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,22,1.5,2.5,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.9,25,1.0,2.0,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,25,1.0,2.0,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.9,25,1.0,2.0,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,25,1.0,2.0,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.9,25,1.0,2.5,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,25,1.0,2.5,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.9,25,1.0,2.5,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,25,1.0,2.5,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.9,25,1.5,2.0,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,25,1.5,2.0,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.9,25,1.5,2.0,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,25,1.5,2.0,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.9,25,1.5,2.5,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,25,1.5,2.5,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.9,25,1.5,2.5,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.9,25,1.5,2.5,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,20,1.0,2.0,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,20,1.0,2.0,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,20,1.0,2.0,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,20,1.0,2.0,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,20,1.0,2.5,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,20,1.0,2.5,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,20,1.0,2.5,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,20,1.0,2.5,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,20,1.5,2.0,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,20,1.5,2.0,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,20,1.5,2.0,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,20,1.5,2.0,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,20,1.5,2.5,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,20,1.5,2.5,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,20,1.5,2.5,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,20,1.5,2.5,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,22,1.0,2.0,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,22,1.0,2.0,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,22,1.0,2.0,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,22,1.0,2.0,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,22,1.0,2.5,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,22,1.0,2.5,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,22,1.0,2.5,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,22,1.0,2.5,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,22,1.5,2.0,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,22,1.5,2.0,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,22,1.5,2.0,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,22,1.5,2.0,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,22,1.5,2.5,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,22,1.5,2.5,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,22,1.5,2.5,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,22,1.5,2.5,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,25,1.0,2.0,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,25,1.0,2.0,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,25,1.0,2.0,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,25,1.0,2.0,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,25,1.0,2.5,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,25,1.0,2.5,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,25,1.0,2.5,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,25,1.0,2.5,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,25,1.5,2.0,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,25,1.5,2.0,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,25,1.5,2.0,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,25,1.5,2.0,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,25,1.5,2.5,3.0,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,25,1.5,2.5,3.0,1.0,2,1,0.998681,0.998681,0.998681,1
160,0.95,25,1.5,2.5,3.5,0.7,2,1,0.998681,0.998681,0.998681,1
160,0.95,25,1.5,2.5,3.5,1.0,2,1,0.998681,0.998681,0.998681,1
180,0.9,20,1.0,2.0,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,20,1.0,2.0,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.9,20,1.0,2.0,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,20,1.0,2.0,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.9,20,1.0,2.5,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,20,1.0,2.5,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.9,20,1.0,2.5,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,20,1.0,2.5,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.9,20,1.5,2.0,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,20,1.5,2.0,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.9,20,1.5,2.0,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,20,1.5,2.0,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.9,20,1.5,2.5,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,20,1.5,2.5,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.9,20,1.5,2.5,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,20,1.5,2.5,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.9,22,1.0,2.0,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,22,1.0,2.0,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.9,22,1.0,2.0,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,22,1.0,2.0,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.9,22,1.0,2.5,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,22,1.0,2.5,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.9,22,1.0,2.5,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,22,1.0,2.5,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.9,22,1.5,2.0,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,22,1.5,2.0,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.9,22,1.5,2.0,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,22,1.5,2.0,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.9,22,1.5,2.5,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,22,1.5,2.5,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.9,22,1.5,2.5,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,22,1.5,2.5,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.9,25,1.0,2.0,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,25,1.0,2.0,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.9,25,1.0,2.0,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,25,1.0,2.0,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.9,25,1.0,2.5,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,25,1.0,2.5,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.9,25,1.0,2.5,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,25,1.0,2.5,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.9,25,1.5,2.0,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,25,1.5,2.0,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.9,25,1.5,2.0,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,25,1.5,2.0,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.9,25,1.5,2.5,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,25,1.5,2.5,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.9,25,1.5,2.5,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.9,25,1.5,2.5,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,20,1.0,2.0,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,20,1.0,2.0,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,20,1.0,2.0,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,20,1.0,2.0,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,20,1.0,2.5,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,20,1.0,2.5,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,20,1.0,2.5,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,20,1.0,2.5,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,20,1.5,2.0,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,20,1.5,2.0,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,20,1.5,2.0,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,20,1.5,2.0,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,20,1.5,2.5,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,20,1.5,2.5,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,20,1.5,2.5,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,20,1.5,2.5,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,22,1.0,2.0,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,22,1.0,2.0,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,22,1.0,2.0,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,22,1.0,2.0,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,22,1.0,2.5,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,22,1.0,2.5,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,22,1.0,2.5,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,22,1.0,2.5,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,22,1.5,2.0,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,22,1.5,2.0,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,22,1.5,2.0,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,22,1.5,2.0,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,22,1.5,2.5,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,22,1.5,2.5,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,22,1.5,2.5,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,22,1.5,2.5,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,25,1.0,2.0,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,25,1.0,2.0,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,25,1.0,2.0,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,25,1.0,2.0,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,25,1.0,2.5,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,25,1.0,2.5,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,25,1.0,2.5,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,25,1.0,2.5,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,25,1.5,2.0,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,25,1.5,2.0,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,25,1.5,2.0,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,25,1.5,2.0,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,25,1.5,2.5,3.0,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,25,1.5,2.5,3.0,1.0,2,1,0.997855,0.997855,0.997855,1
180,0.95,25,1.5,2.5,3.5,0.7,2,1,0.997855,0.997855,0.997855,1
180,0.95,25,1.5,2.5,3.5,1.0,2,1,0.997855,0.997855,0.997855,1
