vol_buy_x,ema_fast,ema_slow,base_k,ratio_max,regime_ratio,stop_mult,trail_mult_TR,tp_mult_TR,trail_mult_RG,tp_mult_RG,cooldown,trades,wins,losses,win_rate_pct,equity_multiple
0.85,20,100,1.6,1.4,1.05,1.0,2.0,3.0,1.5,1.5,1,29,14,15,48.28,0.946457
0.85,20,100,1.6,1.4,1.05,1.0,2.0,4.0,1.5,1.5,1,29,14,15,48.28,0.946457
0.85,20,100,1.6,1.4,1.05,1.0,2.5,3.0,1.5,1.5,1,29,14,15,48.28,0.946457
0.85,20,100,1.6,1.4,1.05,1.0,2.5,4.0,1.5,1.5,1,29,14,15,48.28,0.946457
0.85,20,100,1.6,1.4,1.05,1.5,2.0,3.0,1.5,1.5,1,28,14,14,50.0,0.941819
0.85,20,100,1.6,1.4,1.05,1.5,2.0,4.0,1.5,1.5,1,28,14,14,50.0,0.941819
0.85,20,100,1.6,1.4,1.05,1.5,2.5,3.0,1.5,1.5,1,28,14,14,50.0,0.941819
0.85,20,100,1.6,1.4,1.05,1.5,2.5,4.0,1.5,1.5,1,28,14,14,50.0,0.941819
0.85,20,100,1.6,1.4,1.15,1.0,2.0,3.0,1.5,1.5,1,30,14,16,46.67,0.931033
0.85,20,100,1.6,1.4,1.15,1.0,2.0,4.0,1.5,1.5,1,30,14,16,46.67,0.931033
0.85,20,100,1.6,1.4,1.15,1.0,2.5,3.0,1.5,1.5,1,30,14,16,46.67,0.931033
0.85,20,100,1.6,1.4,1.15,1.0,2.5,4.0,1.5,1.5,1,30,14,16,46.67,0.931033
0.85,20,100,1.6,1.4,1.15,1.5,2.0,3.0,1.5,1.5,1,29,15,14,51.72,0.949992
0.85,20,100,1.6,1.4,1.15,1.5,2.0,4.0,1.5,1.5,1,29,15,14,51.72,0.949992
0.85,20,100,1.6,1.4,1.15,1.5,2.5,3.0,1.5,1.5,1,29,15,14,51.72,0.949992
0.85,20,100,1.6,1.4,1.15,1.5,2.5,4.0,1.5,1.5,1,29,15,14,51.72,0.949992
0.85,20,100,1.6,1.6,1.05,1.0,2.0,3.0,1.5,1.5,1,28,14,14,50.0,0.965172
0.85,20,100,1.6,1.6,1.05,1.0,2.0,4.0,1.5,1.5,1,28,14,14,50.0,0.965172
0.85,20,100,1.6,1.6,1.05,1.0,2.5,3.0,1.5,1.5,1,28,14,14,50.0,0.965172
0.85,20,100,1.6,1.6,1.05,1.0,2.5,4.0,1.5,1.5,1,28,14,14,50.0,0.965172
0.85,20,100,1.6,1.6,1.05,1.5,2.0,3.0,1.5,1.5,1,28,14,14,50.0,0.941819
0.85,20,100,1.6,1.6,1.05,1.5,2.0,4.0,1.5,1.5,1,28,14,14,50.0,0.941819
0.85,20,100,1.6,1.6,1.05,1.5,2.5,3.0,1.5,1.5,1,28,14,14,50.0,0.941819
0.85,20,100,1.6,1.6,1.05,1.5,2.5,4.0,1.5,1.5,1,28,14,14,50.0,0.941819
0.85,20,100,1.6,1.6,1.15,1.0,2.0,3.0,1.5,1.5,1,29,14,15,48.28,0.949443
0.85,20,100,1.6,1.6,1.15,1.0,2.0,4.0,1.5,1.5,1,29,14,15,48.28,0.949443
0.85,20,100,1.6,1.6,1.15,1.0,2.5,3.0,1.5,1.5,1,29,14,15,48.28,0.949443
0.85,20,100,1.6,1.6,1.15,1.0,2.5,4.0,1.5,1.5,1,29,14,15,48.28,0.949443
0.85,20,100,1.6,1.6,1.15,1.5,2.0,3.0,1.5,1.5,1,29,15,14,51.72,0.949992
0.85,20,100,1.6,1.6,1.15,1.5,2.0,4.0,1.5,1.5,1,29,15,14,51.72,0.949992
0.85,20,100,1.6,1.6,1.15,1.5,2.5,3.0,1.5,1.5,1,29,15,14,51.72,0.949992
0.85,20,100,1.6,1.6,1.15,1.5,2.5,4.0,1.5,1.5,1,29,15,14,51.72,0.949992
0.85,20,100,1.8,1.4,1.05,1.0,2.0,3.0,1.5,1.5,1,23,9,14,39.13,0.935635
0.85,20,100,1.8,1.4,1.05,1.0,2.0,4.0,1.5,1.5,1,23,9,14,39.13,0.935635
0.85,20,100,1.8,1.4,1.05,1.0,2.5,3.0,1.5,1.5,1,23,9,14,39.13,0.935635
0.85,20,100,1.8,1.4,1.05,1.0,2.5,4.0,1.5,1.5,1,23,9,14,39.13,0.935635
0.85,20,100,1.8,1.4,1.05,1.5,2.0,3.0,1.5,1.5,1,23,9,14,39.13,0.906251
0.85,20,100,1.8,1.4,1.05,1.5,2.0,4.0,1.5,1.5,1,23,9,14,39.13,0.906251
0.85,20,100,1.8,1.4,1.05,1.5,2.5,3.0,1.5,1.5,1,23,9,14,39.13,0.906251
0.85,20,100,1.8,1.4,1.05,1.5,2.5,4.0,1.5,1.5,1,23,9,14,39.13,0.906251
0.85,20,100,1.8,1.4,1.15,1.0,2.0,3.0,1.5,1.5,1,24,9,15,37.5,0.920388
0.85,20,100,1.8,1.4,1.15,1.0,2.0,4.0,1.5,1.5,1,24,9,15,37.5,0.920388
0.85,20,100,1.8,1.4,1.15,1.0,2.5,3.0,1.5,1.5,1,24,9,15,37.5,0.920388
0.85,20,100,1.8,1.4,1.15,1.0,2.5,4.0,1.5,1.5,1,24,9,15,37.5,0.920388
0.85,20,100,1.8,1.4,1.15,1.5,2.0,3.0,1.5,1.5,1,24,10,14,41.67,0.921471
0.85,20,100,1.8,1.4,1.15,1.5,2.0,4.0,1.5,1.5,1,24,10,14,41.67,0.921471
0.85,20,100,1.8,1.4,1.15,1.5,2.5,3.0,1.5,1.5,1,24,10,14,41.67,0.921471
0.85,20,100,1.8,1.4,1.15,1.5,2.5,4.0,1.5,1.5,1,24,10,14,41.67,0.921471
0.85,20,100,1.8,1.6,1.05,1.0,2.0,3.0,1.5,1.5,1,23,9,14,39.13,0.935635
0.85,20,100,1.8,1.6,1.05,1.0,2.0,4.0,1.5,1.5,1,23,9,14,39.13,0.935635
0.85,20,100,1.8,1.6,1.05,1.0,2.5,3.0,1.5,1.5,1,23,9,14,39.13,0.935635
0.85,20,100,1.8,1.6,1.05,1.0,2.5,4.0,1.5,1.5,1,23,9,14,39.13,0.935635
0.85,20,100,1.8,1.6,1.05,1.5,2.0,3.0,1.5,1.5,1,23,9,14,39.13,0.906251
0.85,20,100,1.8,1.6,1.05,1.5,2.0,4.0,1.5,1.5,1,23,9,14,39.13,0.906251
0.85,20,100,1.8,1.6,1.05,1.5,2.5,3.0,1.5,1.5,1,23,9,14,39.13,0.906251
